year,region,treat,cpue
2009,bol,mpa,3
2009,bol,mpa,0
2009,bol,mpa,3
2009,bol,mpa,4
2009,bol,mpa,5
2009,bol,mpa,2
2009,bol,mpa,2
2009,bol,mpa,5
2009,bol,mpa,1
2009,bol,mpa,5
2009,bol,mpa,5
2009,bol,mpa,2
2009,bol,mpa,0
2009,bol,mpa,3
2009,bol,mpa,3
2009,bol,mpa,2
2009,bol,mpa,1
2009,bol,mpa,1
2009,bol,mpa,5
2009,bol,mpa,5
2009,bol,mpa,5
2009,bol,mpa,3
2009,bol,mpa,5
2009,bol,mpa,2
2009,bol,mpa,3
2009,bol,mpa,1
2009,bol,mpa,1
2009,bol,mpa,5
2009,bol,mpa,4
2009,bol,mpa,2
2009,bol,mpa,4
2009,bol,mpa,2
2009,bol,mpa,1
2009,bol,mpa,1
2009,bol,mpa,5
2009,bol,mpa,0
2009,bol,mpa,1
2009,bol,mpa,3
2009,bol,mpa,3
2009,bol,mpa,3
2009,bol,mpa,3
2009,bol,mpa,4
2009,bol,mpa,3
2009,bol,mpa,2
2009,bol,mpa,5
2009,bol,mpa,7
2009,bol,mpa,2
2009,bol,mpa,5
2009,bol,mpa,4
2009,bol,mpa,3
2009,bol,mpa,4
2009,bol,mpa,3
2009,bol,mpa,5
2009,bol,mpa,4
2009,bol,mpa,3
2009,bol,mpa,2
2009,bol,mpa,4
2009,bol,mpa,5
2009,bol,mpa,1
2009,bol,con,4
2009,bol,con,1
2009,bol,con,0
2009,bol,con,1
2009,bol,con,1
2009,bol,con,0
2009,bol,con,1
2009,bol,con,3
2009,bol,con,3
2009,bol,con,3
2009,bol,con,0
2009,bol,con,2
2009,bol,con,4
2009,bol,con,3
2009,bol,con,2
2009,bol,con,4
2009,bol,con,1
2009,bol,con,1
2009,bol,con,0
2009,bol,con,4
2009,bol,con,6
2009,bol,con,1
2009,bol,con,3
2009,bol,con,1
2009,bol,con,2
2009,bol,con,2
2009,bol,con,2
2009,bol,con,3
2009,bol,con,1
2009,bol,con,1
2009,bol,con,1
2009,bol,con,0
2009,bol,con,2
2009,bol,con,1
2009,bol,con,4
2009,bol,con,1
2009,bol,con,2
2009,bol,con,1
2009,bol,con,1
2009,bol,con,3
2009,bol,con,1
2009,bol,con,4
2009,bol,con,1
2009,bol,con,2
2009,bol,con,3
2009,bol,con,3
2009,bol,con,3
2009,bol,con,2
2009,bol,con,2
2009,bol,con,3
2009,bol,con,1
2009,bol,con,2
2009,bol,con,2
2009,bol,con,3
2009,bol,con,3
2009,bol,con,1
2009,bol,con,5
2009,bol,con,3
2009,bol,con,0
2009,bol,con,0
2009,bol,con,0
2009,bol,con,1
2009,bol,con,2
2009,bol,con,1
2009,bol,con,2
2009,bol,con,3
2009,bol,con,3
2009,bol,con,1
2009,bol,con,1
2009,bol,con,1
2009,bol,con,1
